fermi level
benzene to phenol
sandwich like
degradation ability
1000 ppm
composite photocatalysts exhibited
fold greater than
l pn 1
lys pro
morphological analysis
composed of
ultraviolet visible light
co and ni
w xe lamp
sio2 au
photocurrent response measurements
condensation process
enhanced absorption
group 14
cooh *
amplification strategy
electrostatic self assembly strategy
mediated synthesis
bias potential
displayed much higher photocatalytic activity
scale up
unique optical
characterized by xrd
highly efficient and stable
ion energy
low limit of detection
2020 elsevier ltd
p n heterojunctions
single atom fe
specific surface area and pore volume
doped carbon nanosheets
cl doped
able to
converting solar energy
electrochemical experiments
hydrolytic dehydrogenation of
optical and electrical properties
deposition rate
c3n4 composite
dealing with
characterized and compared
doped sno2
good linearity
excellent mechanical
oxidation performance
improved photocatalytic properties
decorated g c3n4 nanosheets
n doped
biochemical characterization
phase microextraction
pristine graphitic carbon nitride
heat release
adsorption process
future applications
rather than
porous nitrogen doped
strong fluorescence
efficient photocatalytic hydrogen production
to current conversion efficiency
excellent long term
including xrd
defect modified
zns composites
cn films
significantly promote
₂ o
enhancement mechanism
hydrogen production efficiency
self consistent
cuo nanocomposites
photocatalytic reduction of cr
magnetic nanoparticles
ternary z scheme heterojunction
h 2 evolution rate
considerably high
prominent photocatalytic performance
photocatalytic degradation ability
loading content
cds @ zno g c3n4
tio2 nfs
sensor exhibits
purified protein
fold greater
design and fabricate
un doped
improved light absorption
fe 0
p chlorophenol
low charge separation efficiency
unique design
photocatalytic degradation rate
rational design and construction of
efficient visible light photocatalysts
morphological structure
u pa
photoelectrochemical and photocatalytic performance
under solar light irradiation
acid synthase
light absorption efficiency
infrared region
ag @ sio2
type i
sequence determined
oxygen and hydrogen
19 9
c3n4 and ag3vo4
conversion rate
0.1 pg ml
separation rate of electron hole pairs
sample displayed
modified graphitic c3n4
charge carriers transfer
electrode exhibits
tio2 and tio2
modified sample
detection method
p glycoprotein
electrocatalysts for oxygen reduction reaction
credited to
no significant decrease
2017 elsevier ltd
carbon nitride nanostructures
thermal degradation
class i
homogeneous distribution
photogenerated carrier
1.0 wt
degradation of congo red
pi *
emu g
deep insight into
chemical analysis
times as high as
similar to
near ultraviolet
surface bound
depending on
degradation of antibiotics
carriers recombination
crystalline c3n4
highly enhanced visible light photocatalytic
detection of trace
characterizations revealed
g c3n4 and tio2
photocatalytic degradation of pollutants
2018 taiwan institute of chemical engineers
low band gap
efficient visible light driven hydrogen evolution
green and efficient
noble metal free co catalysts
theoretical results
belong to
strong oxidation
pro alpha 2
oxidation processes
cf c3n4
2015 elsevier ltd
transformed infrared
vis diffuse reflectance spectra
phosphate transport
degradation of 2,4 dichlorophenol
experiments reveal
ultrathin mos2
n doped carbon dots
based systems
degradation of toluene
plasma chemical vapor deposition
removal of nitric oxide
according to
material exhibits
hetero structure
above mentioned
graphene nanosheets
17 kda
large scale application
heterostructured g c3n4 ag
p tcn
ph value
give rise to
nitrophenol reduction
determining step
photocatalysis performance
mos2 nanosheet
at various temperatures
2017 elsevier inc
2018 elsevier inc
facile and effective
hole recombination rate
fenton like process
metallic pt
simple preparation method
low quantum efficiency
used repeatedly
gives rise to
cell parameters
enhanced performance
pi conjugated system
research interest
vis irradiation
light harvesting efficiency
enhanced visible light driven
h2 evolution performance
a brief introduction
this review summarizes
380 nm
xrd pattern
z scheme heterostructure
high efficiency photocatalysts
hollow structures
egf like
step thermal polymerization method
vis pms
coupling effect
efficient photocatalyst
two photon
time resolved photoluminescence
characterized by x ray powder diffraction
photo fenton like
carriers transfer
phase structures
adsorption and photocatalytic degradation
min of reaction
employed to analyze
doping site
facile and green
chemical and structural
tests revealed
supported on mesoporous graphitic carbon nitride
ft ir spectroscopy
peroxidase like
theory calculation
electron reduction of o 2
ag @ ag3po4
impregnation calcination
uv visible light
high apparent quantum efficiency
electron reduction
provide new insights
dispersive x ray analysis
this study
pressure induced
carboxylated g c3n4
effective electron hole separation
composite possesses
simple thermal condensation
photocatalytic activity enhancement
environmental samples
photoreduction process
irrespective of
pure tio2
non toxic
2d 2d
structure and surface
μg ml 1
hybrid density functional theory
coo @
plenty of
voltammetric determination of
au particles
1d 2d
ag2cro4 tio2
superior properties
direct solid state
tio2 nanocrystals
photocatalytic degradation of antibiotics
radicals trapping experiments
precursor solution
major reactive species
significantly enhancing
chemical methods
hybrid film
decorated graphitic
catalytic property
diffuse reflectance spectrometry
based composite photocatalysts
degrading rhodamine
structure function
excellent charge separation
detection of dopamine
benefitting from
mmol l
photocatalytic degradation of phenol
surface area analysis
c h activation
photo electrochemical properties
nitrogen fixation activity
harvesting and charge separation
chemical properties
μa cm 2
energy storage systems
photoelectrochemical experiments
heterogeneous photo
shell core
facile strategy
mu mol center dot
side effects
photodegradation experiments
size effect
vacancy modified g c3n4
synergistic mechanism
excellent photo catalytic
sensing systems
agbr bipo4 g c3n4
3 methylimidazolium
2014 elsevier ltd
band minimum
oxidation of glucose
degrading rhodamine b
energy related
cu2o cu g c3n4
under wide spectrum light irradiation
charges transfer
air batteries
supported iron
degradation activity
tio2 srtio3
sub 3 sub
composite showed
a r g
carbon nitride thin films deposited
decreased with increasing
cyanuric acid supramolecular
provide insights
beam irradiation
n 2 physisorption
dna binding
quenching experiment
visible light adsorption
low activity
removal of nitric
compared with bare
synthesized and utilized
exhibit enhanced
520 nm
to activate peroxymonosulfate
highly efficient photocatalysis
pristine g c3n4
copolymerization of melamine
surface to volume
acidic conditions
cell free
cu cu2o
mos2 g c3n4 heterojunction
thermal polycondensation process
materials possess
strong binding
edge potential
efficient and stable
enhanced surface area
excellent ecl
effective methods
binding lectin
photocatalytic and antibacterial activity
self sacrificial
optimal photocatalytic activity
pure g c3n4
heterojunction film
ni species
magnetic graphitic carbon nitride
organic pollutants in water
fe doping
efficient photocatalytic overall water splitting
exhibited remarkably
application potential
ag fe3o4
ala arg
absorption region
oxygen doped carbon nitride
molecular catalyst
spectroscopy techniques
charge transfer process
wo3 moo3 g c3n4
perovskite solar
related materials
fe doped g c3n4
n 2 adsorption desorption isotherm
with enhanced visible light photocatalytic activity
g c3n4 and bioi
electro fenton like
nitride nanoparticles
a promising candidate
highly active and stable
composite possessed
high removal efficiency
under simulated sunlight
c3n4 and mos2
transfer processes
cn boc
strong synergistic effect
graphene hybrids
modified ito
preparing graphitic carbon nitride
chemical deposition
photoelectrochemical analysis
enhanced photocatalytic degradation
polycrystalline carbon nitride
and xps techniques
sulfur doped g c3n4
the remainder
reduction of hexavalent
photocatalytic water splitting performance
qd @
h2 production activity
novel and highly efficient
negative electrode
determined by automated
cytochrome c
environmental pollution and energy
electron recombination
mb photodegradation
enhanced visible light photodegradation
enhanced conductivity
electrostatic self assembly method
fe and n
c terminal
degree of polymerization
facile solvothermal method
time resolved fluorescence
g c3n4 ns
denoted as
porous few layer c3n4
100 ng ml
thermal method
g c3n4 nss
highly enhanced photocatalytic activity
within 60 min
graphitic carbon nitride sheets
n 2 sorption
hole separation
three dimensional porous
condensation method
ultrasonic method
nano photocatalyst
photocatalytic water splitting activity
au pcn
protein sequence
time of flight mass
efficient electrocatalysts
photo generated charge carrier
absorption efficiency
low yield
carbon nitride solids
structure and composition
high turnover frequency
calculations demonstrate
cu doped
growth method
highest hydrogen evolution
synthesis and enhanced
in situ growing
charge separation and transportation
doped porous carbon
cu mof
g c3n4 and rgo
protein fragments
doping strategy
excellent photo
drastically enhanced photocatalytic
cn based photocatalysts
excellent properties
regarded as one of
non metallic
higher photocatalytic efficiency
depend on
purification efficiency
water adsorption
v kappa
experimental results showed
boron doped carbon nitride
band 3 protein
strong chemical
functionalized g c3n4 nanosheets
1.0 x 10
n 2 photofixation ability
uv visible diffused reflectance
atomic force
trapping experiments demonstrated
conduction and valence
synthetic process
a new avenue
oxidation of nitric oxide
remarkable photocatalytic
heat treatment method
enhanced visible light response
hierarchical flower like
etching process
electron hole separation rate
porous g c3n4
deal with
cds content
methyl orange dye
au ceo2
and enhanced separation efficiency
facile method to prepare
carbon nitride material
reduced recombination rate
terminal sequence analysis
exhibits excellent catalytic activity
pi conjugated structure
alpha mno2
photocatalytic h2 evolution rate
serves as
temperature induced
photo fenton degradation
acted as
applied to characterize
degradation and mineralization
realization of
diffuse reflection spectra
strong metal support
p codoped
mesoporous graphitic
dramatically enhanced photocatalytic
direct calcination
mesoporous alpha fe2o3
remarkably enhanced photocatalytic performance
ag3po4 composite
bamboo like
cdots c3n4
metal free polymeric photocatalysts
novel visible light driven
cl co doped
pro lys
c 13 nmr
transfer kinetics
transportation of photogenerated
120 min
calcination strategy
reflection spectra
ranged from
enhanced specific surface area
showed superior
tio2 based
lower band gap
active oxygen
assembly approach
beam deposition
photocatalytic oxidation process
approximate to
wt rgo
porous g c3n4 nanosheet
800 nm
g c3n5 nss
nitrogen ion
photocatalytic oxygen evolution
arg gly
carbon nitride supported
graphite carbon nitride nanosheets
times larger
n k2ti4o9
powder catalysts
study offers
enhanced activity
morphological studies
improved charge carrier separation
type electrochemiluminescence
combined experimental and
nh4 +
optical absorption properties
human protein
enhanced photocurrent response
enhanced charge transfer
zno g c3n4 composite
consist of
high performance supercapacitors
removal of hazardous
carbon films
chemical and electronic
degradation of acid orange 7
water and soil
all solid state
mimicking activity
incubated onto
reversible hydrogen
sponge like
fabricated successfully
experimental results and theoretical calculations
selective oxidation of aromatic
due to
widespread interest
open porous
composites possessed
composite hydrogel
dispersive x ray spectroscopy
noble metal co catalysts
highly efficient visible light photocatalysis
average size
lifetime of photogenerated carriers
subsequent thermal
cn composite
phase formation
oxidation of methanol
experiment revealed
significantly improved photocatalytic activity
enhanced photocatalytic efficiency
highly active photocatalysts
lower recombination rate
p type
efficient hydrogen generation
hybrid shows
effectively improved
compared to
c3n4 mos2
based device
well aligned
various characterization techniques
activate peroxymonosulfate
zvz g c3n4
bp cn
g c3n5
2020 taiwan institute of chemical engineers
dynamics simulation
fe doped graphitic carbon nitride
method for preparing
exhibited significantly enhanced photocatalytic activity
findings revealed
after 1000 cycles
fe3 + ions
significantly enhanced photocatalytic activity
measurements revealed
surface composition
beneficial for improving
electrochemical reduction of co2
simple and efficient
based hybrid
doped g c3n4
synchrotron x ray
uv visible diffuse
photogenerated electrons holes
under acidic conditions
exhibit higher
c3n4 and bi2wo6
cn materials
phase of c3n4
production of h2o2
removal process
ag agcl bivo4
high energy ball
chemical process
within 120 min
refluxing method
n terminal sequence
facile ultrasonic dispersion
good agreement
published by elsevier
migration of photogenerated carriers
second order kinetic model
co 2 reduction
heterostructure shows
o 2
after 2000 cycles
published by elsevier inc
solid catalyst
etching of bulk
model organic pollutant
thermal condensation of dicyandiamide
successfully formed
carbon nitride network
pure bi2wo6
in addition
efficient solar
capture experiments
tio2 photoanode
driven photocatalyst
times higher than pure
enhanced photocatalytic removal
sheet like
bonding properties
photocatalytic n 2 fixation
route to synthesize
in vivo
high concentrations
non radical
electrode electrolyte
highly efficient visible light induced
reduction capability
photocatalytic degradation process
assisted method
bare cn
covalent interaction
c3n4 rgo
hydrothermal strategy
mu g l
cn saf
designing efficient
sensitive detection
pure zno
suffer from
doped graphite phase carbon nitride
metal single atoms
light harvesting properties
remarkably enhanced photocatalytic
n gqds
synthesized nanocomposite
no obvious decrease
structural characterizations
these findings
palladium nanoparticles supported on
oxygen free
doping increases
oxidation technology
significant potential
robust photocatalyst
nitrogen sources
optimal mass ratio
dye pollutant
enhanced photocatalytic activity and stability
photocatalytic hydrogen production performance
high catalytic performance
abundant nitrogen
in situ diffuse reflectance infrared
exhibits high sensitivity
optimized photocatalyst
co2 + ions
cocatalyst modified
mb removal
light absorption properties
this paper reports
electronic interactions
small specific surface
sputtered carbon
photocatalytic oxidation ability
rgo nanosheets
supported catalyst
non toxicity
x ray photoelectron spectroscopic
electrochemical energy
activation of persulfate
catalysts exhibit
characterized by powder x ray diffraction
synthesis and visible
after 5000 cycles
hole recombination
first order kinetic model
under simulated solar light
high loading
m na2so4
znpy 4
near ir
electronic property
mechanism involving
sequence determination
excellent photocatalytic activities
unique physicochemical
efficient hydrogen production
li doped g c3n4
nanocomposite materials
strategy for designing
carbon nitride compounds
significant decrease
band of c3n4
high recovery
excellent activity
accompanied by
ultraviolet and visible light
exhibited high stability
collagen molecules
mr =
effective strategy
calculations revealed
design strategy
© 2020
transfer of photoexcited
rich porous
non covalent
metal free organic
cu al2o3
heterojunction composite
bonded to sp
superb photocatalytic
extremely facile
doped mesoporous
assisted thermal polymerization
1.0 × 10
interconnected porous
efficient interfacial charge
inner sphere
balb c
0d 3d
linked peptides
proposed mechanism
self supporting
x ray diffraction patterns
composite formation
2015 elsevier inc
composites with enhanced photocatalytic activity
human alpha
in alkaline media
light harvesting capacity
exfoliated carbon nitride
hybrids exhibited
interfacial properties
x ray diffraction and transmission electron
enhanced visible light photocatalytic degradation
successfully employed
spectroscopy and photoelectrochemical
useful insights
1 ethyl 3
microwave assisted synthesis
ag c3n4
electrochemical water splitting
higher degradation efficiency
photocatalytic degradation of tc
gravimetric analysis
pollutants in water
quantitative analysis
irradiated by visible light
enhanced visible light photoactivity
visible light responsive photocatalysts
carrier generation
study shows
graphitic phase c3n4
alpha factor
acid treatment
evaluated by degrading
two dimension
preparation process
plasmon resonance effect of ag
z scheme photocatalyst
rich precursors
m nacl
g c3n4 nanosheets
one step pyrolysis
defect structure
metal free electrocatalyst
1 to 10
ultrasensitive detection
term stability
higher affinity
nanocomposites showed
oxidation mechanism
compared to pure
ceo2 g c3n4 nanocomposites
facile approach
light conditions
consisting of
g c 3 n 4
times higher than pristine
theoretical calculation results
g c3 n4 ns
photocatalysts displayed
vacancy induced
mol l 1
hybrid exhibits
li doped
magnetic properties
experiments and electron spin resonance
state of art
enhanced photocatalytic hydrogen generation
convert solar energy into
co 3 o 4
bi2moo6 composites
interfacial transfer
phosphorus doped g c3n4
increased photocurrent
fe based
electrocatalytic co2 reduction
uv visible absorption
evolution activity
enzymatic cleavage
this work
exhibits significantly enhanced
ni nanoparticles
unique electronic
selective photocatalytic co2
tio2 heterojunction photocatalysts
condensation of melamine
hole pair recombination
active radical
measurements showed
n and c
good linear relationship
s triazine
feasible approach
fabrication method
the absorption of
nitride films
carbon nitride films deposited
five consecutive cycles
alkaline medium
c3n4 zno
photocatalytic h 2 generation
effective separation of photogenerated carriers
v vs ag agcl
mb solution
r 2 =
angstrom and c =
kaolinite composite
in recent years
the structures of
preparation conditions
nanocomposite material
n and c terminal
zno particles
interfacial electron
light emission
c and n
homojunction photocatalyst
many body
potential candidate
quantum dots modified
pristine bulk
one step hydrothermal method
dual reaction
photocatalysts for water splitting
amino acid sequence of human
thermodynamic properties
characterized by scanning electron microscope
zero order
aunp @
produce h2o2
n 2 fixation
enhance light absorption
lambda = 420
thanks to
polymer carbon nitride
the type of
emmett teller analysis
thermal treatment method
low cost and high
a facile hydrothermal method
submitted to
amino terminal region
exhibit enhanced photocatalytic
improved separation
co catalyst
improved separation efficiency
promising visible light photocatalyst
transformed into
studies demonstrate
excellent ability
photocatalysis applications
500 degrees c
remarkably improved photocatalytic
oxidation of 3,3
complete amino acid sequence of human
shows superior
pt free
· g 1
μmol·h 1 · g 1
high visible light photocatalytic activity
low charge
stems from
photocatalytic degradation of methyl orange
tm @
compared with
ag scn
enhanced visible light driven photocatalytic performance
time resolved photoluminescence spectra
photoreduction of cr
photocatalysts for environmental remediation
research results
n doped graphitic carbon
pure cu2o
adsorbed o 2
rational construction
0.5 wt
the hydrolytic dehydrogenation
273 k
a significant challenge
this article
h2 generation rate
raman analysis
visible light photocatalytic properties
base catalyst
bare photocatalysts
artificial z scheme
bi 0
optimal photocatalytic performance
z scheme charge transfer
μmol·h 1 · g
mass activity
space separation
enhanced photocatalytic capability
enzyme linked
based nanostructures
@ nh2 mil
nanocomposite displayed
separation and transfer of photogenerated charges
large scale synthesis of
780 nm
enhanced photocatalytic mechanism
facile precipitation method
thermal induced
visible light harvesting ability
pure mpg c3n4
removal from water
ts 1
the korean society of industrial and
relation between
as high as
highly enhanced photocatalytic
2013 elsevier
performed to investigate
self doped
and differential thermal
visible and solar
abundant elements
phenyl doped
2016 published by elsevier b.v
ternary catalyst
spectrometric analysis
migration mechanism
degradation of persistent
the irradiation of
degradation of refractory
π *
transfer of photogenerated charges
shows excellent stability
following reasons
polymeric carbon nitride nanosheets
suitable band edge
mof based
spectroscopy analysis
g c3n4is
nitrogen co doped carbon
high temperature calcination method
analyses demonstrated
tio 2
highly efficient catalytic
catalytic process
to fabricate
characterization studies
k phi
utilization rate
tio2 g c3n4 nanocomposites
driven photocatalytic hydrogen production
exfoliation of graphitic carbon nitride
prostate specific
ternary photocatalysts
1 butyl 3
n 1s
exhibited higher photocatalytic activity
uniformly anchored
effective separation of electron hole pairs
microwave method
orr catalyst
prepared by
higher photocatalytic activity than
well organized
oxidation activity
mof 5
stability and repeatability
analysis suggested
oxidative coupling
carbon nitride nanorods
before and after
stable and reusable
biobr composites
pd pcn
polycondensation method
the endoplasmic
degradation of antibiotic
activity and stability
valence and conduction
type of carbon
an efficient
photo induced electron
photocatalysts for co2 reduction
surface states
intrinsic electronic
compared with pristine
interfacial charge transfer and separation
cadmium sulfide graphitic carbon nitride
pure ag3po4
structure and enhanced
characterization data
vis diffuse reflectance spectroscopy
the adhesion of
ir and xps
bivo 4
photo catalytic degradation
one step calcination method
k edge
heterostructured composite
recombination of photo generated
results displayed
heterojunction photocatalyst exhibited
600 nm
persistent organic
recombination of photogenerated electron
400 degrees c
nm monochromatic light
codoped graphitic carbon nitride
times as great as
synthesized nanocomposites
wavelength light
suffers from low
nitrogen deficient g c3n4
separation efficiency of photo induced charge
600 ° c
enhancing photocatalytic activity
catalyst comprises
amorphous structure
mos2 nanoparticles
covalent carbon nitride
within 30 min
expected to provide
cu species
melamine and cyanuric
treatment of wastewater
4 ap
superior visible light driven
2d nanomaterials
cu al2o3 g c3n4
thermal condensation of urea
enhanced photocatalytic properties
based photocatalyst
annealing method
melamine molecules
phosphate dehydrogenase
activation process
single layer graphitic
electronic band
that of pure
g c3n4 mno composites
light absorption in visible
bn nanosheets
eco friendly method
synthesized photocatalysts
driven by visible light
1s core
500 nm
obtained catalysts
ag3po4 nanocomposites
photocatalytic hydrogen evolution from water splitting
adsorption photocatalysis
a composite of
framework structure
unique structural
interactions between
structure regulation
porous and hollow
electron pairs
aqueous solution under visible light irradiation
improved stability
calculations suggest
establishment of
high recombination rate of photogenerated
two step calcination
binding activity
degradation of acid orange
porous framework
four electron pathway
contribute to
shows significant
light irradiations
developing high performance
the method of
conventional bulk g c3n4
20 wt
optimum photocatalyst
specific protein
the ph of
highest occupied
and graphitic n
ultraviolet photoelectron
much higher than
high aspect
lafeo3 g c3n4
well matched band
reaction efficiency
bi2wo6 heterojunction
reduced bandgap
well matched
separation of photoinduced charge
the evolution of
characterization analysis
oxygen linked
optical and photoelectrochemical
ct u
improved significantly
achieving high
photocatalytic activity and stability
powder xrd
evolution from water
absorption performance
efficiency and poor
characterization and photocatalytic
rhodamine b degradation
displays excellent
removal of tetracycline
2.75 ev
ab initio molecular
previously described
in conjunction with
deposited on si
separation and transfer of photo induced
graphene like carbon
mesoporous g c3n4 nanosheets
to solve
accelerated separation
decomposition of ap
the rate of h 2
characterized by several techniques
graphitic carbon nitride based
superior photocatalytic properties
photocatalytic degradation mechanism
ng ml 1
tubular graphitic carbon
test results
accounted for
catalyst for oxygen reduction reaction
higher temperatures
exhibited superior catalytic
graphitic carbon nitride bismuth
h 2 production rate
excellent visible light response
photocatalytic reaction rate
so called
dispersive spectroscopy
the interfaces of
atom doped
white c3n4
employed to fabricate
interfacial transfer of photogenerated electrons
w xe
photocatalytic activity for degrading
deep insights into
adsorption activation
surface morphologies
limiting potential
under uv irradiation
novel and efficient
catalysis applications
sensor showed
photodegradation of methyl orange
optical and electrochemical properties
photocatalytic degradation pathway
z scheme heterojunctions
to date
nanosheets possess
photo generated charge
in favor of
displayed higher photocatalytic
the electrons in
vs rhe
organic metal
correspond to
showed high sensitivity
excellent visible light
activation of pms
degradation of rhb
recalcitrant organic
dominant active
nanosheet based
c3n4 cloth
heterostructure interface
fenton like reaction
c3n4 rgo hybrid
wide linear
in spite of
degradation experiment
650 nm
reactive radical
fuel generation
composite sample
ultraviolet visible absorption
sephadex g 50
main factors
hydrogen generation from water
remarkably enhanced visible light photocatalytic
copper nanoparticles
adsorption experiments
photodegradation rate constant
pl emission
exhibits superior photocatalytic
surface reaction
formed heterojunction
extended visible light
stronger oxidation
recent progress in
important factor
degradation of organic contaminants
visible light driven co2 reduction
ultrathin 2d
area electron diffraction
reactive oxygen
pot hydrothermal method
tio2 nanocomposite
o center dot radicals
label free photoelectrochemical
constructing heterojunction
0 0
semiconductor based
c3n4 films
c3n4 sheets
bonding structure
degradation under visible light irradiation
synergistic action of
cn nanohybrid
heterogeneous structure
led to
x rays
g c3n4 and cus
efficient photocatalytic water splitting
prepare mesoporous
the applications of
the holes in
electrical properties
data revealed
without losing
near infrared light
overlapping band
interaction between
water splitting efficiency
carbon nitride photocatalysts
alpha and beta c3n4
possess high
good reusability
heterostructure exhibited
carbon nitride films deposited by
metal loading
exhibited superior photocatalytic performance
μmol l 1
visible light absorption region
esr analysis
at low temperatures
@ nc
scalable synthesis
derived from
novel magnetically separable
exhibit remarkably
ag + ions
higher current density
s heptazine
great potential for practical
ultraviolet visible diffuse reflectance
cleavage peptides
advanced materials
incorporated into
v vs
within 90 min
at 1.23 v
degrees c for 1
the positions of
enhanced photodegradation activity
successfully obtained
resulting materials
film deposition
reaction route
higher adsorption capacity
an effective strategy
induced self assembly
transfer rate
silicon carbon nitride
g c3 n4 nanosheets
higher photocatalytic performance
photocatalytic degradation of organic dyes
transfer and separation of charge carriers
tio2 ns
based on
700 nm
graphitic carbon nitride composite
key role
generation from water splitting
contaminants degradation
on behalf of
the affinity of
fe3o4 @
optical and electrical
pec process
driven water splitting
tio2 g c3n4 heterostructure
tio2 based photocatalysts
cn mca
vacancies in g c3n4
visible light mediated
photocatalytic performance for hydrogen evolution
five runs
light sensitive
r go
decreases with increasing
activity and mechanism
the stability and
rgo hybrid
acid assisted
condensation of dicyandiamide
within 80 min
acidified g c3n4
three dimensional hierarchical
high efficiency photocatalytic
photodegradation of organic pollutants
c3n4 cds
band matching
under direct sunlight
carbon based catalysts
efficient visible light induced
still challenging
under visible irradiation
recently attracted
organic compound
g protein coupled
rapid recombination
superior electrochemical
blue dye
ag agbr g c3n4
not only
serving as
efficient photocatalysis
doped samples
copper based
for efficient photocatalytic hydrogen evolution
catalyst exhibits excellent
contributed to
620 nm
employed to investigate
shows high
zno nanorod
boosting photocatalytic h 2 evolution
fast interfacial
determination of glucose
holes pairs
flower like bi2wo6
layered graphitic carbon nitride
radicals played
reaction active sites
li +
the measurement of
photocatalytic activity for co2 reduction
binding fragment
low recombination rate
g c3n4 and sns2
gamma c3n4
10 wt
composites showed excellent
transport properties
promising photocatalysts
c3n4 bi2wo6 heterojunctions
two photon fluorescence
higher selectivity
work function
graphitic nitrogen
label free detection of
cn nanorods
z scheme photocatalysts
method and applied
vis light
x ray diffraction pattern
x = cl
well designed
high thermal and chemical stability
mechanism study
with respect to
under uv vis light irradiation
to address
cd0.5zn0.5s @
strategy for synthesizing
excellent photodegradation
photo fenton activity
present report
co2 reduction performance
x ray absorption near edge structure
pd pt
low photocatalytic activity
agbr g c3n4 composite
photoelectrochemical results
to synthesize
reaction products
bi2o3 g c3n4 composite
enhanced photo catalytic
mo doped
molecular doping
metal sites
the energy of
pristine cn
bi2moo6 composite
co pi
primary structure of human
volume changes
excellent antibacterial
high stability and reusability
liquid based
calculations and experimental
provide new insights into
visible light driven photocatalytic hydrogen production
ion flux
calmodulin dependent
visible light driven photoactivity
carbon nitride nanocrystals
ag2o g c3n4
photocatalytic application
300 w xe
c3n4 and zno
moo3 x
alkalinized g c3n4
the temperature of
at 420 nm
promising technology
at 1.23 v vs
enhanced hydrogen production
chemical and thermal
superior visible light photocatalytic activity
characterized by various techniques
characterized by transmission electron microscopy
determination of dopamine
0d 1d
analyses showed
iron nanoparticles
developed to synthesize
ph = 7
@ zif 8
thermal polymerization of melamine
c3n4 phase
the response of
graphitic carbon nitride titanium dioxide
tubular g c3n4
catalytic material
as low as
2017 published by elsevier b.v
g c3n4 @ pda
analysis techniques
rational construction of
440 nm
simple ultrasonic
removal of antibiotics
using h2o2 as
mu mol l 1
significant loss
metal free polymer
the photocatalysis of
exhibit outstanding
protonated graphitic
sensitive determination
c3n4 cnt composite
the art
synergistic effect of adsorption and
under solar irradiation
greatly enhanced photocatalytic activity
p cn
the fields of
non equilibrium
oer process
high bet surface area
410 nm
g cn
an effective and facile
2d 2d nanosheet heterostructures
efficient separation of charge carriers
efficient noble metal free
improved visible light photocatalytic performance
contaminants in wastewater
delta e
hydrogen evolution from water
improved visible light
successfully introduced
transport ability
reproducibility and stability
much higher photocatalytic activity than
hydrogenated carbon nitride
proposed strategy
large specific
cell free system
nitrogen rich graphitic carbon nitride
good photocatalytic stability
the rest
c terminal end
photocatalytic air
strategy for fabricating
assembly strategy
photocatalysts showed
strong blue
recombination of photo induced
and personal care products
highest reported
good recyclability
transfer paths
pt co catalyst
graphene like carbon nitride nanosheets
high activities
tio2 photocatalyst
proportional to
scanning and transmission
degradation of smx
wo3 g c3n4 composite
simple and facile
oriented transfer
at different temperatures
photodegradation of methylene blue
intact protein
co2 into valuable
selective and efficient
study demonstrates
crystalline beta
hole separation efficiency
mesoporous g c3n4
htcn 1
1.23 v versus
number of active sites
c3n4 nss
wo3 g c3n4
pollution and energy
aunps @ g c3n4
chemical characterization
light driven photoactivity
synthesis and enhanced visible light photocatalytic
w w
ceo2 g c3n4 composites
electrochemical energy conversion
one pot pyrolysis
n cnt
pt wo3
simple hydrothermal process
co and h 2
nm thick
doped mesoporous graphitic carbon nitride
low and high
surface state
higher photocurrent
co2 reduction to co
fast separation
proposed to explain
optical and photocatalytic properties
graphite like carbon nitride nanosheets
controlled by adjusting
solid state c 13
environment and human
efficient charge carrier
triazine frameworks
the research of
synergy effect
play important
separation and transport
optimum conditions
enhanced visible light harvesting
metal anode
mos2 g c3n4 composite
tubular carbon nitride
acting as
holey graphitic carbon nitride
zinc air
doped polymeric carbon nitride
enhanced visible light induced
simultaneous detection
performance liquid chromatography
significant photocatalytic activity
expose more active
under uv vis irradiation
the forefront of
the center of
the techniques of
the photocurrent response of
a great deal of
edge position
visible led light irradiation
results indicate
parameters including
to understand
agbr bipo4
ag cn
higher than
transition temperature
excellent photocatalytic
m2 g 1
to construct
c 60
carrier separation and transfer
rational design and fabrication of
degradation ratio
metallic catalysts
facile two step process
photocatalytic rhb degradation
stability and excellent
visible light capture
x 10
the coating of
carrier separation ability
a temperature of
band gap semiconductor
modified g c3n4
hydrogenation reaction
fast charge
n atoms
composite photocatalytic materials
effective interfacial charge
generate hydrogen
v versus reversible hydrogen electrode
0.5 m h2so4
the coordination of
excellent photocatalytic activity and stability
photocatalytic degradation of dyes
increased significantly
structure and electronic
ni based
c n bond
salt precipitation
higher charge separation efficiency
at least
strong electron
exhibited high photocatalytic activity
study showed
700 degrees c
excellent reusability and stability
after 5 cycles
for instance
exhibit significantly enhanced
degradation of ciprofloxacin
graphitic carbon nitride supported
photocatalytic hydrogen evolution from water
ch4 n 2
v vs rhe
characterization showed
high performance catalysts
systematically characterized by xrd
meso g c3n4
light response ability
titanium nitride carbon
a facile and simple
developed to prepare
pot method
2d 2d heterojunction
reduce co2
enhanced photocatalytic h2 evolution
nanoparticles dispersed
separation of photo generated
the assay of
lead to
derived peptides
photoluminescence and photocurrent
mixed metal
double shell
investigated in detail
the transport of
the great potential of
nanosheets possessed
carbon networks
under solar light illumination
hydrogen production from water
n and o
one step calcination
the reusability of
sensing material
g c3n4 rgo wo3
bivo4 heterojunction
facile fabrication of
